Treatment,Replicate,Target,Concentration,Distance
HB_COB_CARP,R1,CARP,NA,0
HB_COB_CARP,R1,CARP,NA,10
HB_COB_CARP,R1,CARP,0.210499322,20
HB_COB_CARP,R1,CARP,0.128171347,30
HB_COB_CARP,R1,CARP,NA,40
HB_COB_CARP,R2,CARP,NA,0
HB_COB_CARP,R2,CARP,0.247632954,10
HB_COB_CARP,R2,CARP,0.160198328,20
HB_COB_CARP,R2,CARP,NA,30
HB_COB_CARP,R2,CARP,0.101022433,40
HB_COB_CARP,R3,CARP,0.16,0
HB_COB_CARP,R3,CARP,0.380891676,10
HB_COB_CARP,R3,CARP,NA,20
HB_COB_CARP,R3,CARP,NA,30
HB_COB_CARP,R3,CARP,NA,40
HB_COB_CARP,R4,CARP,0.65,0
HB_COB_CARP,R4,CARP,NA,10
HB_COB_CARP,R4,CARP,0.146860484,20
HB_COB_CARP,R4,CARP,NA,30
HB_COB_CARP,R4,CARP,0.296399881,40
HB_COB_STLHD,R1,STLHD,NA,0
HB_COB_STLHD,R1,STLHD,NA,10
HB_COB_STLHD,R1,STLHD,1.8,20
HB_COB_STLHD,R1,STLHD,1.228888889,30
HB_COB_STLHD,R1,STLHD,0.764444444,40
HB_COB_STLHD,R2,STLHD,2.277777778,0
HB_COB_STLHD,R2,STLHD,1.513333333,10
HB_COB_STLHD,R2,STLHD,1.255351847,20
HB_COB_STLHD,R2,STLHD,1.381111111,30
HB_COB_STLHD,R2,STLHD,0.717777778,40
HB_COB_STLHD,R3,STLHD,1.513333333,0
HB_COB_STLHD,R3,STLHD,1.662222222,10
HB_COB_STLHD,R3,STLHD,0.913333334,20
HB_COB_STLHD,R3,STLHD,1.18,30
HB_COB_STLHD,R3,STLHD,0.853333333,40
HB_COB_STLHD,R4,STLHD,2.666666667,0
HB_COB_STLHD,R4,STLHD,1.553333334,10
HB_COB_STLHD,R4,STLHD,0.82,20
HB_COB_STLHD,R4,STLHD,1.622222222,30
HB_COB_STLHD,R4,STLHD,0.631111111,40
HB_MIX_CARP,R1,CARP,0.681782795,0
HB_MIX_CARP,R1,CARP,0.713199789,10
HB_MIX_CARP,R1,CARP,NA,20
HB_MIX_CARP,R1,CARP,0.406666667,30
HB_MIX_CARP,R1,CARP,0.429233615,40
HB_MIX_CARP,R2,CARP,1.25984619,0
HB_MIX_CARP,R2,CARP,0.692550399,10
HB_MIX_CARP,R2,CARP,0.486666666,20
HB_MIX_CARP,R2,CARP,0.70772431,30
HB_MIX_CARP,R2,CARP,0.619444444,40
HB_MIX_CARP,R3,CARP,0.628835508,0
HB_MIX_CARP,R3,CARP,NA,10
HB_MIX_CARP,R3,CARP,0.563219914,20
HB_MIX_CARP,R3,CARP,0.417402651,30
HB_MIX_CARP,R3,CARP,0.525555555,40
HB_MIX_CARP,R4,CARP,0.591822837,0
HB_MIX_CARP,R4,CARP,1.515099993,10
HB_MIX_CARP,R4,CARP,0.851062655,20
HB_MIX_CARP,R4,CARP,0.543239311,30
HB_MIX_CARP,R4,CARP,0.165848725,40
HB_MIX_STLHD,R1,STLHD,2.608888889,0
HB_MIX_STLHD,R1,STLHD,2.364444444,10
HB_MIX_STLHD,R1,STLHD,NA,20
HB_MIX_STLHD,R1,STLHD,4.033333333,30
HB_MIX_STLHD,R1,STLHD,4.355555555,40
HB_MIX_STLHD,R2,STLHD,2.92,0
HB_MIX_STLHD,R2,STLHD,2.266666666,10
HB_MIX_STLHD,R2,STLHD,2.4,20
HB_MIX_STLHD,R2,STLHD,4.177777778,30
HB_MIX_STLHD,R2,STLHD,3.342592592,40
HB_MIX_STLHD,R3,STLHD,1.631111111,0
HB_MIX_STLHD,R3,STLHD,NA,10
HB_MIX_STLHD,R3,STLHD,3.222222222,20
HB_MIX_STLHD,R3,STLHD,2.833333333,30
HB_MIX_STLHD,R3,STLHD,3.344444445,40
HB_MIX_STLHD,R4,STLHD,2.146666667,0
HB_MIX_STLHD,R4,STLHD,2.764444444,10
HB_MIX_STLHD,R4,STLHD,2.422222223,20
HB_MIX_STLHD,R4,STLHD,2.9,30
HB_MIX_STLHD,R4,STLHD,2.911111111,40
HB_PG_CARP,R1,CARP,1.249404176,0
HB_PG_CARP,R1,CARP,0.271711722,10
HB_PG_CARP,R1,CARP,0.334340915,20
HB_PG_CARP,R1,CARP,0.175721444,30
HB_PG_CARP,R1,CARP,0.520250509,40
HB_PG_CARP,R2,CARP,NA,0
HB_PG_CARP,R2,CARP,0.356404736,10
HB_PG_CARP,R2,CARP,0.528360469,20
HB_PG_CARP,R2,CARP,NA,30
HB_PG_CARP,R2,CARP,0.28713016,40
HB_PG_CARP,R3,CARP,NA,0
HB_PG_CARP,R3,CARP,0.842305482,10
HB_PG_CARP,R3,CARP,0.403861688,20
HB_PG_CARP,R3,CARP,0.858915217,30
HB_PG_CARP,R3,CARP,0.48530043,40
HB_PG_CARP,R4,CARP,0.478095416,0
HB_PG_CARP,R4,CARP,0.464336262,10
HB_PG_CARP,R4,CARP,0.379415337,20
HB_PG_CARP,R4,CARP,0.232889189,30
HB_PG_CARP,R4,CARP,0.302660553,40
HB_PG_STLHD,R1,STLHD,5.288888889,0
HB_PG_STLHD,R1,STLHD,1.688888889,10
HB_PG_STLHD,R1,STLHD,2.822222222,20
HB_PG_STLHD,R1,STLHD,3.077777777,30
HB_PG_STLHD,R1,STLHD,1.866666667,40
HB_PG_STLHD,R2,STLHD,4.322222222,0
HB_PG_STLHD,R2,STLHD,2.822222222,10
HB_PG_STLHD,R2,STLHD,3.066666666,20
HB_PG_STLHD,R2,STLHD,2.555555555,30
HB_PG_STLHD,R2,STLHD,2.24,40
HB_PG_STLHD,R3,STLHD,4.042222222,0
HB_PG_STLHD,R3,STLHD,3.644444445,10
HB_PG_STLHD,R3,STLHD,2.488888889,20
HB_PG_STLHD,R3,STLHD,2.155555555,30
HB_PG_STLHD,R3,STLHD,1.466666667,40
HB_PG_STLHD,R4,STLHD,4.177777778,0
HB_PG_STLHD,R4,STLHD,4.022222222,10
HB_PG_STLHD,R4,STLHD,3.777777778,20
HB_PG_STLHD,R4,STLHD,2.133333333,30
HB_PG_STLHD,R4,STLHD,1.855555556,40
HB_SAND_CARP,R1,CARP,1.677777778,0
HB_SAND_CARP,R1,CARP,1.900108936,10
HB_SAND_CARP,R1,CARP,0.958888889,20
HB_SAND_CARP,R1,CARP,1.997255934,30
HB_SAND_CARP,R1,CARP,1.795974705,40
HB_SAND_CARP,R2,CARP,1.80929101,0
HB_SAND_CARP,R2,CARP,1.133333334,10
HB_SAND_CARP,R2,CARP,1.185555555,20
HB_SAND_CARP,R2,CARP,1.646666667,30
HB_SAND_CARP,R2,CARP,1.444444444,40
HB_SAND_CARP,R3,CARP,0.16,0
HB_SAND_CARP,R3,CARP,1.595555556,10
HB_SAND_CARP,R3,CARP,1.306666667,20
HB_SAND_CARP,R3,CARP,2.111111111,30
HB_SAND_CARP,R3,CARP,0.742671476,40
HB_SAND_CARP,R4,CARP,1.246666666,0
HB_SAND_CARP,R4,CARP,1.284444445,10
HB_SAND_CARP,R4,CARP,1.762222222,20
HB_SAND_CARP,R4,CARP,2.242222222,30
HB_SAND_CARP,R4,CARP,1.028603206,40
HB_SAND_STLHD,R1,STLHD,3.066666667,0
HB_SAND_STLHD,R1,STLHD,2.383379137,10
HB_SAND_STLHD,R1,STLHD,1.577777778,20
HB_SAND_STLHD,R1,STLHD,2.422222222,30
HB_SAND_STLHD,R1,STLHD,3.711111111,40
HB_SAND_STLHD,R2,STLHD,2.089069455,0
HB_SAND_STLHD,R2,STLHD,1.611111111,10
HB_SAND_STLHD,R2,STLHD,2.046666667,20
HB_SAND_STLHD,R2,STLHD,3.444444445,30
HB_SAND_STLHD,R2,STLHD,1.966666666,40
HB_SAND_STLHD,R3,STLHD,0.697777778,0
HB_SAND_STLHD,R3,STLHD,1.646666666,10
HB_SAND_STLHD,R3,STLHD,1.333333334,20
HB_SAND_STLHD,R3,STLHD,2.822222223,30
HB_SAND_STLHD,R3,STLHD,2.6,40
HB_SAND_STLHD,R4,STLHD,2.48,0
HB_SAND_STLHD,R4,STLHD,2.393333333,10
HB_SAND_STLHD,R4,STLHD,2.222222222,20
HB_SAND_STLHD,R4,STLHD,2.866666667,30
HB_SAND_STLHD,R4,STLHD,2.888888889,40
SH_COB_CARP,R1,CARP,1.497260151,0
SH_COB_CARP,R1,CARP,1.979239352,10
SH_COB_CARP,R1,CARP,1.466291633,20
SH_COB_CARP,R1,CARP,0.85740455,30
SH_COB_CARP,R1,CARP,0.734799277,40
SH_COB_CARP,R2,CARP,1.507777777,0
SH_COB_CARP,R2,CARP,1.719457769,10
SH_COB_CARP,R2,CARP,1.107411465,20
SH_COB_CARP,R2,CARP,0.653333333,30
SH_COB_CARP,R2,CARP,0.806835083,40
SH_COB_CARP,R3,CARP,1.317777778,0
SH_COB_CARP,R3,CARP,1.022110601,10
SH_COB_CARP,R3,CARP,1.181524311,20
SH_COB_CARP,R3,CARP,0.928888889,30
SH_COB_CARP,R3,CARP,0.926666667,40
SH_COB_CARP,R4,CARP,1.271111111,0
SH_COB_CARP,R4,CARP,0.933333333,10
SH_COB_CARP,R4,CARP,1.157028568,20
SH_COB_CARP,R4,CARP,0.870315596,30
SH_COB_CARP,R4,CARP,0.887148157,40
SH_COB_STLHD,R1,STLHD,3.666666666,0
SH_COB_STLHD,R1,STLHD,3.611111111,10
SH_COB_STLHD,R1,STLHD,2.411111111,20
SH_COB_STLHD,R1,STLHD,1.422222222,30
SH_COB_STLHD,R1,STLHD,2.086868687,40
SH_COB_STLHD,R2,STLHD,3.511111111,0
SH_COB_STLHD,R2,STLHD,4.166666666,10
SH_COB_STLHD,R2,STLHD,1.966666666,20
SH_COB_STLHD,R2,STLHD,2.433333334,30
SH_COB_STLHD,R2,STLHD,1.625697001,40
SH_COB_STLHD,R3,STLHD,3.555555556,0
SH_COB_STLHD,R3,STLHD,2.633333333,10
SH_COB_STLHD,R3,STLHD,2.422222222,20
SH_COB_STLHD,R3,STLHD,1.444444444,30
SH_COB_STLHD,R3,STLHD,2.155555555,40
SH_COB_STLHD,R4,STLHD,3.2,0
SH_COB_STLHD,R4,STLHD,3.366666666,10
SH_COB_STLHD,R4,STLHD,1.688888889,20
SH_COB_STLHD,R4,STLHD,1.888888889,30
SH_COB_STLHD,R4,STLHD,2.088888889,40
SH_MIX_CARP,R1,CARP,5.333333333,0
SH_MIX_CARP,R1,CARP,5.777777777,10
SH_MIX_CARP,R1,CARP,7.466666666,20
SH_MIX_CARP,R1,CARP,4.144444444,30
SH_MIX_CARP,R1,CARP,2.506666666,40
SH_MIX_CARP,R2,CARP,4.388888889,0
SH_MIX_CARP,R2,CARP,3.977777778,10
SH_MIX_CARP,R2,CARP,2.511111111,20
SH_MIX_CARP,R2,CARP,2.462222222,30
SH_MIX_CARP,R2,CARP,2.213333334,40
SH_MIX_CARP,R3,CARP,7.066666667,0
SH_MIX_CARP,R3,CARP,3.288888889,10
SH_MIX_CARP,R3,CARP,3.155555556,20
SH_MIX_CARP,R3,CARP,2.044444444,30
SH_MIX_CARP,R3,CARP,3.288888889,40
SH_MIX_CARP,R4,CARP,3.755555556,0
SH_MIX_CARP,R4,CARP,5.088888889,10
SH_MIX_CARP,R4,CARP,3.471111111,20
SH_MIX_CARP,R4,CARP,2.155555556,30
SH_MIX_CARP,R4,CARP,2.566666666,40
SH_MIX_STLHD,R1,STLHD,10,0
SH_MIX_STLHD,R1,STLHD,8.288888889,10
SH_MIX_STLHD,R1,STLHD,10.66666667,20
SH_MIX_STLHD,R1,STLHD,5.266666667,30
SH_MIX_STLHD,R1,STLHD,3.422222223,40
SH_MIX_STLHD,R2,STLHD,7.111111111,0
SH_MIX_STLHD,R2,STLHD,5.511111111,10
SH_MIX_STLHD,R2,STLHD,4.955555555,20
SH_MIX_STLHD,R2,STLHD,3.888888889,30
SH_MIX_STLHD,R2,STLHD,3.211111111,40
SH_MIX_STLHD,R3,STLHD,7.666666667,0
SH_MIX_STLHD,R3,STLHD,6.333333333,10
SH_MIX_STLHD,R3,STLHD,5.822222222,20
SH_MIX_STLHD,R3,STLHD,5.066666667,30
SH_MIX_STLHD,R3,STLHD,6.088888888,40
SH_MIX_STLHD,R4,STLHD,8.088888889,0
SH_MIX_STLHD,R4,STLHD,7.355555555,10
SH_MIX_STLHD,R4,STLHD,5.844444445,20
SH_MIX_STLHD,R4,STLHD,4.333333333,30
SH_MIX_STLHD,R4,STLHD,4.244444444,40
SH_PG_CARP,R1,CARP,2.844444444,0
SH_PG_CARP,R1,CARP,2.255555556,10
SH_PG_CARP,R1,CARP,1.551111111,20
SH_PG_CARP,R1,CARP,1.9,30
SH_PG_CARP,R1,CARP,1.295380105,40
SH_PG_CARP,R2,CARP,3.3,0
SH_PG_CARP,R2,CARP,3.094665062,10
SH_PG_CARP,R2,CARP,1.485798242,20
SH_PG_CARP,R2,CARP,1.646962125,30
SH_PG_CARP,R2,CARP,1.697777778,40
SH_PG_CARP,R3,CARP,2.83,0
SH_PG_CARP,R3,CARP,2.133333334,10
SH_PG_CARP,R3,CARP,1.6823409,20
SH_PG_CARP,R3,CARP,1.724444445,30
SH_PG_CARP,R3,CARP,1.4548994,40
SH_PG_CARP,R4,CARP,3.338888889,0
SH_PG_CARP,R4,CARP,1.824444444,10
SH_PG_CARP,R4,CARP,1.434897689,20
SH_PG_CARP,R4,CARP,1.47990992,30
SH_PG_CARP,R4,CARP,1.144453333,40
SH_PG_STLHD,R1,STLHD,5.488888889,0
SH_PG_STLHD,R1,STLHD,5.811111111,10
SH_PG_STLHD,R1,STLHD,5.288888889,20
SH_PG_STLHD,R1,STLHD,3.4,30
SH_PG_STLHD,R1,STLHD,2.133333333,40
SH_PG_STLHD,R2,STLHD,5.611111111,0
SH_PG_STLHD,R2,STLHD,5.966706779,10
SH_PG_STLHD,R2,STLHD,2.577777778,20
SH_PG_STLHD,R2,STLHD,3.222222223,30
SH_PG_STLHD,R2,STLHD,1.977777778,40
SH_PG_STLHD,R3,STLHD,4.811111111,0
SH_PG_STLHD,R3,STLHD,3.688888889,10
SH_PG_STLHD,R3,STLHD,2.488888889,20
SH_PG_STLHD,R3,STLHD,3.422222223,30
SH_PG_STLHD,R3,STLHD,2.511111111,40
SH_PG_STLHD,R4,STLHD,5.033333333,0
SH_PG_STLHD,R4,STLHD,3.577777777,10
SH_PG_STLHD,R4,STLHD,3.177777778,20
SH_PG_STLHD,R4,STLHD,2.322222222,30
SH_PG_STLHD,R4,STLHD,2.055555556,40
SH_SAND_CARP,R1,CARP,NA,0
SH_SAND_CARP,R1,CARP,4.266666667,10
SH_SAND_CARP,R1,CARP,1.624444445,20
SH_SAND_CARP,R1,CARP,3.222222222,30
SH_SAND_CARP,R1,CARP,3.955555555,40
SH_SAND_CARP,R2,CARP,NA,0
SH_SAND_CARP,R2,CARP,4.2,10
SH_SAND_CARP,R2,CARP,1.616666667,20
SH_SAND_CARP,R2,CARP,3.911111111,30
SH_SAND_CARP,R2,CARP,4.72,40
SH_SAND_CARP,R3,CARP,NA,0
SH_SAND_CARP,R3,CARP,4.888888889,10
SH_SAND_CARP,R3,CARP,1.706666666,20
SH_SAND_CARP,R3,CARP,3.224444444,30
SH_SAND_CARP,R3,CARP,3.697777778,40
SH_SAND_CARP,R4,CARP,NA,0
SH_SAND_CARP,R4,CARP,4.122222222,10
SH_SAND_CARP,R4,CARP,1.408888889,20
SH_SAND_CARP,R4,CARP,3.615555555,30
SH_SAND_CARP,R4,CARP,5.011111111,40
SH_SAND_STLHD,R1,STLHD,NA,0
SH_SAND_STLHD,R1,STLHD,6.244444444,10
SH_SAND_STLHD,R1,STLHD,5.988888889,20
SH_SAND_STLHD,R1,STLHD,6.611111111,30
SH_SAND_STLHD,R1,STLHD,6.111111111,40
SH_SAND_STLHD,R2,STLHD,NA,0
SH_SAND_STLHD,R2,STLHD,6.777777778,10
SH_SAND_STLHD,R2,STLHD,5.5,20
SH_SAND_STLHD,R2,STLHD,5.222222222,30
SH_SAND_STLHD,R2,STLHD,7.2,40
SH_SAND_STLHD,R3,STLHD,NA,0
SH_SAND_STLHD,R3,STLHD,5.733333334,10
SH_SAND_STLHD,R3,STLHD,4.733333333,20
SH_SAND_STLHD,R3,STLHD,4.111111111,30
SH_SAND_STLHD,R3,STLHD,5.777777778,40
SH_SAND_STLHD,R4,STLHD,NA,0
SH_SAND_STLHD,R4,STLHD,4.2,10
SH_SAND_STLHD,R4,STLHD,4.788888889,20
SH_SAND_STLHD,R4,STLHD,4.622222223,30
SH_SAND_STLHD,R4,STLHD,5.422222223,40
